"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Invalid Registration - Password validation","webkit","Tue Nov 18 01:00:41 BDT 2025","failed","Tue Nov 18 01:00:42 BDT 2025","User Registration Test Suite","registration.spec.ts","",""
"","7755","Invalid Login - Special characters in password should be handled properly","firefox","Tue Nov 18 00:24:54 BDT 2025","passed","Tue Nov 18 00:25:02 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","24","Invalid Registration - Email format validation","webkit","Tue Nov 18 01:36:33 BDT 2025","failed","Tue Nov 18 01:36:33 BDT 2025","User Registration Test Suite","registration.spec.ts","",""
"","16","Footer Quick Links and Follow Us Test","webkit","Tue Nov 18 00:25:30 BDT 2025","failed","Tue Nov 18 00:25:30 BDT 2025","QA Brains Website Complete Footer functionality test","footer.spec.ts","",""
"","7102","Invalid Login - Wrong password should show error","firefox","Tue Nov 18 00:24:35 BDT 2025","passed","Tue Nov 18 00:24:42 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","14","Invalid Login - Empty email field should show validation error","webkit","Tue Nov 18 00:26:00 BDT 2025","failed","Tue Nov 18 00:26:00 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","16","Negative: Forgot Password - Empty email field should show validation error","webkit","Tue Nov 18 00:25:38 BDT 2025","failed","Tue Nov 18 00:25:38 BDT 2025","Forgot Password Test Suite","forgotPassword.spec.ts","",""
"","12901","Invalid Registration - Name field validation","firefox","Tue Nov 18 00:59:55 BDT 2025","failed","Tue Nov 18 01:00:07 BDT 2025","User Registration Test Suite","registration.spec.ts","",""
"","1977","Invalid Login - Empty password field should show validation error","chromium","Tue Nov 18 01:52:48 BDT 2025","passed","Tue Nov 18 01:52:50 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","12532","Invalid Registration - Password and Confirm Password mismatch","firefox","Tue Nov 18 01:00:18 BDT 2025","failed","Tue Nov 18 01:00:31 BDT 2025","User Registration Test Suite","registration.spec.ts","",""
